CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1095480,IPO,NetRatings Inc,"Milpitas, CA",NTRT,Nasdaq NM,1999-09-25,14,16,$69.0 mil.,"Lehman Brothers, Banc of America Securities LLC, CIBC World Markets, C.E. Unterberg, Towbin"
1095563,IPO,Prometric Inc,"Baltimore, MD",PROM,Nasdaq NM,1999-09-25,-,-,$100.0 mil.,Deutsche Bank Securities
1040896,IPO,"Intellicheck, Inc.","Melville, NY",IDN,NYSE/Amex,1999-09-24,7,7.5,$6.27 mil.,"GunnAllen Financial, Inc, Starr Securities, Inc."
1091973,IPO,Triton PCS Holdings Inc,"Malvern, PA",TPCS,Nasdaq NM,1999-09-23,15,17,$125.0 mil.,"Morgan Stanley, Lehman Brothers, Salomon Smith Barney, First Union Capital Markets, J.P. Morgan"
1095099,IPO,Metron Technology,"Burlingame, CA",MTCH,Nasdaq NM,1999-09-23,11,13,$57.5 mil.,"Banc of America Securities LLC, Cowen, Piper Jaffray"
1095158,IPO,L90 Inc,"Santa Monica, CA",LNTY,Nasdaq NM,1999-09-23,12,14,$69.0 mil.,"Cowen, Banc of America Securities LLC, Wit Soundview"
1095315,IPO,PFSweb Inc,"Plano, TX",PFSW,Nasdaq NM,1999-09-23,14,16,$49.9 mil.,"Chase H&Q, Dain Rauscher Wessels, William Blair & Co., Jefferies"
1095357,IPO,Expedia Inc,"Redmond, WA",EXPE,Nasdaq NM,1999-09-23,10,12,$75.0 mil.,"Goldman Sachs & Co., Morgan Stanley"
1095388,IPO,McAfee.com Corp,"Santa Clara, CA",MCAF,Nasdaq NM,1999-09-23,10,12,$57.5 mil.,"Morgan Stanley, Robertson Stephens, Chase H&Q"
1095079,IPO,ARTISTdirect Inc,"Encino, CA",ARTD,Nasdaq NM,1999-09-22,10,12,$86.3 mil.,"Morgan Stanley, Bear Stearns & Co., Deutsche Bank Securities, E*OFFERING"
1095398,IPO,LinuxOne Inc,"Mountain View, CA",LINX,Nasdaq NM,1999-09-22,8.25,8.25,$24.0 mil.,Self-underwritten
1095266,IPO,E-Cruiter.com Inc,"Ottawa, CANADA",ECRU,Nasdaq NM,1999-09-22,6,6,N/A,Whale Securities
1089443,IPO,Digimarc Corp,"Beaverton, OR",DMRC,Nasdaq NM,1999-09-21,16,18,$35.0 mil.,"Robertson Stephens, Chase H&Q, Piper Jaffray, E*TRADE Securities"
1059155,IPO,GRIC Communications Inc,"Milpitas, CA",GRIC,Nasdaq NM,1999-09-21,12,14,$50.0 mil.,"CIBC World Markets, Piper Jaffray, Volpe Brown Whelan & Co."
